nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,titleCount
nm0000084,Gong Li,1965,\N,actress,"tt0101640,tt0430357,tt0397535,tt0473444",4
nm0000093,Brad Pitt,1963,\N,"actor,producer,soundtrack","tt0114746,tt1210166,tt0356910,tt2935510",4
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0106179,tt2294189,tt0455590,tt0442632",4
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0115624,tt0267913,tt0306047,tt0426592",4
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt1723121,tt0279113,tt0108778,tt3442006",4
nm0000099,Patricia Arquette,1968,\N,"actress,soundtrack,director","tt0108399,tt0412175,tt0145531,tt1065073",4
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0181875,tt0120586,tt0115963,tt0089908",4
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0151738,tt0343660,tt0120631,tt0160127",4
nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0131857,tt0115285,tt0119271,tt0337851",4
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0395251,tt0126886,tt0091042,tt0086567",4
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt0212346,tt0111257,tt1454468,tt1041829",4
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0119094,tt0117500,tt0435705,tt0113627",4
nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0117571,tt0120890,tt0134084,tt0120082",4
nm0000119,Tia Carrere,1967,\N,"actress,soundtrack,producer","tt0105793,tt0275847,tt0207919,tt0111503",4
nm0000120,Jim Carrey,1962,\N,"actor,writer,producer","tt0338013,tt0109040,tt0110475,tt0315327",4
nm0000121,Phoebe Cates,1963,\N,"actress,soundtrack","tt0086143,tt0101775,tt0083929,tt0087363",4
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt0433383,tt1193138,tt1124035,tt0465538",4
nm0000124,Jennifer Connelly,1970,\N,actress,"tt0102803,tt0180093,tt0315983,tt0268978",4
nm0000128,Russell Crowe,1964,\N,"actor,soundtrack,producer","tt1707386,tt0172495,tt0119488,tt0268978",4
nm0000129,Tom Cruise,1962,\N,"actor,producer,soundtrack","tt0092099,tt0325710,tt0120755,tt0116695",4
nm0000131,John Cusack,1966,\N,"actor,producer,writer","tt0119229,tt0098258,tt0146882,tt0450385",4
nm0000132,Claire Danes,1979,\N,"actress,producer,soundtrack","tt0117509,tt0274558,tt1796960,tt0108872",4
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0367594,tt0449088,tt0408236,tt0325980",4
nm0000138,Leonardo DiCaprio,1974,\N,"actor,producer,writer","tt0407887,tt1375666,tt0120338,tt0993846",4
nm0000139,Cameron Diaz,1972,\N,"actress,producer,soundtrack","tt0129387,tt0160127,tt0259711,tt0119738",4
nm0000143,Erika Eleniak,1969,\N,actress,"tt0105690,tt0106400,tt0094761,tt0083866",4
nm0000144,Cary Elwes,1962,\N,"actor,producer,director","tt0119468,tt0107977,tt0093779,tt0387564",4
nm0000145,Sherilyn Fenn,1965,\N,"actress,soundtrack","tt0098936,tt0092240,tt0100935,tt0105046",4
nm0000146,Ralph Fiennes,1962,\N,"actor,director,producer","tt1201607,tt2278388,tt0108052,tt0387131",4
nm0000149,Jodie Foster,1962,\N,"actress,director,producer","tt0118884,tt0075314,tt0476964,tt0102926",4
nm0000150,Michael J. Fox,1961,\N,"actor,producer,miscellaneous","tt0116365,tt0115369,tt0088763,tt0096874",4
nm0000153,Gina Gershon,1962,\N,"actress,soundtrack,producer","tt0114436,tt0115736,tt0095963,tt1726669",4
nm0000159,Teri Hatcher,1964,\N,"actress,soundtrack,writer","tt0227538,tt0410975,tt0106057,tt0120347",4
nm0000160,Ethan Hawke,1970,\N,"actor,writer,producer","tt0139654,tt0112471,tt2209418,tt0381681",4
nm0000161,Salma Hayek,1966,\N,"actress,producer,soundtrack","tt1615065,tt0120679,tt0119141,tt0112851",4
nm0000162,Anne Heche,1969,\N,"actress,writer,producer","tt0251160,tt0119008,tt0120885,tt0120828",4
nm0000166,Helen Hunt,1963,\N,"actress,producer,director","tt0119822,tt0162222,tt0103484,tt0117998",4
nm0000167,Elizabeth Hurley,1965,\N,"actress,producer","tt0105104,tt0118655,tt0230030,tt0145660",4
nm0000170,Milla Jovovich,1975,\N,"actress,soundtrack,producer","tt0119116,tt0120804,tt1220634,tt1220198",4
nm0000171,Ashley Judd,1968,\N,"actress,producer,director","tt0113277,tt0352277,tt0150377,tt0470705",4
nm0000173,Nicole Kidman,1967,\N,"actress,producer,soundtrack","tt0935075,tt0203009,tt0276919,tt0274558",4
nm0000176,Nastassja Kinski,1961,\N,"actress,producer,soundtrack","tt0080009,tt0083722,tt0111400,tt0087884",4
nm0000178,Diane Lane,1965,\N,"actress,soundtrack","tt0328589,tt0250797,tt2096673,tt0086066",4
nm0000179,Jude Law,1972,\N,"actor,producer,soundtrack","tt0376541,tt0134119,tt2278388,tt0346156",4
nm0000181,Heather Locklear,1961,\N,"actress,producer,soundtrack","tt0380623,tt0103491,tt0119695,tt0098193",4
nm0000182,Jennifer Lopez,1969,\N,"actress,producer,soundtrack","tt0252076,tt0120780,tt5503686,tt2126357",4
nm0000183,Traci Lords,1968,\N,"actress,soundtrack,producer","tt1007028,tt0120611,tt1984153,tt0099329",4
nm0000189,Jenny McCarthy,1972,\N,"actress,producer,writer","tt0327643,tt0131857,tt0134084,tt0455967",4
nm0000190,Matthew McConaughey,1969,\N,"actor,producer,soundtrack","tt1915581,tt0790636,tt0993846,tt1726669",4
nm0000191,Ewan McGregor,1971,\N,"actor,writer,producer","tt1322269,tt0203009,tt0117951,tt2763304",4
nm0000192,Alyssa Milano,1972,\N,"actress,producer,soundtrack","tt0116287,tt0088944,tt0086827,tt0158552",4
nm0000193,Demi Moore,1962,\N,"actress,producer,director","tt0099653,tt0107211,tt0119173,tt0305357",4
nm0000196,Mike Myers,1963,\N,"actor,writer,soundtrack","tt0295178,tt0118655,tt0811138,tt0145660",4
nm0000202,Ryan Phillippe,1974,\N,"actor,producer,director","tt0139134,tt0280707,tt0120577,tt0375679",4
nm0000203,River Phoenix,1970,1993,"actor,soundtrack","tt0092005,tt0102494,tt0096018,tt0091557",4
nm0000204,Natalie Portman,1981,\N,"actress,producer,soundtrack","tt0434409,tt0376541,tt0110413,tt0947798",4
nm0000205,Parker Posey,1968,\N,"actress,soundtrack,writer","tt0134084,tt0348150,tt0359013,tt0106677",4
nm0000206,Keanu Reeves,1964,\N,"actor,producer,soundtrack","tt0102685,tt0111257,tt0133093,tt0234215",4
nm0000207,Christina Ricci,1980,\N,"actress,producer,soundtrack","tt0112642,tt0462200,tt0106220,tt0118789",4
nm0000208,Molly Ringwald,1968,\N,"actress,soundtrack,music_department","tt0088128,tt0088847,tt0091790,tt0095169",4
nm0000210,Julia Roberts,1967,\N,"actress,producer,soundtrack","tt0100405,tt0195685,tt0376541,tt1322269",4
nm0000212,Meg Ryan,1961,\N,"actress,producer,soundtrack","tt0120632,tt0098635,tt0108160,tt0128853",4
nm0000213,Winona Ryder,1971,\N,"actress,producer,soundtrack","tt0172493,tt0097493,tt0099487,tt0110367",4
nm0000214,Mia Sara,1967,\N,"actress,soundtrack","tt0112515,tt0091042,tt0089469,tt0111438",4
nm0000221,Charlie Sheen,1965,\N,"actor,producer,soundtrack","tt0107144,tt0108333,tt0094291,tt0369179",4
nm0000222,Brooke Shields,1965,\N,"actress,producer,soundtrack","tt0078111,tt0080116,tt0080453,tt0805570",4
nm0000223,Elisabeth Shue,1963,\N,"actress,soundtrack,producer","tt0087538,tt0120053,tt0092513,tt0113627",4
nm0000224,Alicia Silverstone,1976,\N,"actress,producer,soundtrack","tt0124298,tt0118688,tt0112697,tt0119086",4
nm0000225,Christian Slater,1969,\N,"actor,producer,soundtrack","tt0102798,tt0115759,tt0124198,tt0108399",4
nm0000226,Will Smith,1968,\N,"producer,actor,soundtrack","tt0098800,tt0120891,tt0480249,tt0119654",4
nm0000227,Mira Sorvino,1967,\N,"actress,producer,soundtrack","tt0120008,tt0364343,tt0120032,tt0113819",4
nm0000233,Quentin Tarantino,1963,\N,"writer,actor,producer","tt0110912,tt0116367,tt3460252,tt0105236",4
nm0000234,Charlize Theron,1975,\N,"producer,actress,soundtrack","tt5610554,tt1735898,tt0340855,tt1392190",4
nm0000235,Uma Thurman,1970,\N,"actress,soundtrack,producer","tt0378194,tt0110912,tt0266697,tt0118688",4
nm0000239,Liv Tyler,1977,\N,"actress,soundtrack,producer","tt0120737,tt0120591,tt0167260,tt0482606",4
nm0000240,Skeet Ulrich,1970,\N,"actor,director,producer","tt0117571,tt0115963,tt0409572,tt0913354",4
nm0000242,Mark Wahlberg,1971,\N,"producer,actor,soundtrack","tt0407887,tt1637725,tt0964517,tt0118749",4
nm0000250,Renée Zellweger,1969,\N,"actress,soundtrack,producer","tt0243155,tt0159365,tt0116695,tt0299658",4
nm0000251,Timothy Dowling,1973,\N,"actor,writer,script_department","tt1596350,tt0181852,tt2120120,tt0430922",4
nm0000255,Ben Affleck,1972,\N,"producer,actor,writer","tt2267998,tt0840361,tt1024648,tt0119217",4
nm0000259,Ginger Lynn,1962,\N,"actress,director,writer","tt0134898,tt0210365,tt0125377,tt0395584",4
nm0000270,Gabrielle Anwar,1970,\N,"actress,producer,soundtrack","tt0114660,tt0105323,tt0108333,tt0810788",4
nm0000274,David Arquette,1971,\N,"producer,actor,director","tt0151738,tt0117571,tt0120082,tt0134084",4
nm0000276,Sean Astin,1971,\N,"actor,producer,director","tt0089218,tt0167260,tt0120737,tt0167261",4
nm0000279,Hank Azaria,1964,\N,"actor,soundtrack,producer","tt0096697,tt1839481,tt0115685,tt0132347",4
nm0000282,Scott Bairstow,1970,\N,actor,"tt0283084,tt0120512,tt0182587,tt0119925",4
nm0000283,Brenda Bakke,1963,\N,actress,"tt0119488,tt0114608,tt0114781,tt0107144",4
nm0000284,Adam Baldwin,1962,\N,"actor,soundtrack","tt0379786,tt0116629,tt0093058,tt0187393",4
nm0000286,Stephen Baldwin,1966,\N,"actor,producer,director","tt0114814,tt0158622,tt0115683,tt0486583",4
nm0000287,William Baldwin,1963,\N,"actor,producer,stunts","tt0108162,tt0367089,tt0101393,tt0113010",4
nm0000288,Christian Bale,1974,\N,"actor,editorial_department,producer","tt1800241,tt0144084,tt0468569,tt0372784",4
nm0000295,Kate Beckinsale,1973,\N,"actress,producer,soundtrack","tt0338526,tt0401855,tt0452702,tt0320691",4
nm0000300,Juliette Binoche,1964,\N,"actress,art_department,miscellaneous","tt1219827,tt0116209,tt2452254,tt0241303",4
nm0000301,Thora Birch,1982,\N,"actress,producer,soundtrack","tt0105112,tt0107120,tt0169547,tt0162346",4
nm0000307,Helena Bonham Carter,1966,\N,"actress,soundtrack,producer","tt0137523,tt0408236,tt1504320,tt1707386",4
nm0000312,Amy Brenneman,1964,\N,"actress,producer,writer","tt0116287,tt0113277,tt0866437,tt0209069",4
nm0000319,Yancy Butler,1970,\N,"actress,director,writer","tt1650554,tt0107076,tt0274298,tt1250777",4
nm0000322,Emmanuelle Béart,1963,\N,"actress,soundtrack","tt0283832,tt0189142,tt0117060,tt0113947",4
nm0000327,Lacey Chabert,1982,\N,"actress,soundtrack,producer","tt0120738,tt0277371,tt0821640,tt0377092",4
nm0000332,Don Cheadle,1964,\N,"actor,producer,soundtrack","tt1540133,tt0395169,tt0988047,tt0375679",4
nm0000337,Rachael Leigh Cook,1979,\N,"actress,producer","tt0331811,tt0160862,tt11100856,tt5659816",4
nm0000340,Cindy Crawford,1966,\N,"actress,producer,soundtrack","tt1441109,tt0113010,tt0120577,tt0115082",4
nm0000346,Macaulay Culkin,1980,\N,"actor,director,producer","tt0107034,tt0099785,tt0102492,tt0104431",4
nm0000349,Joan Cusack,1962,\N,"actress,soundtrack,writer","tt1659337,tt0119360,tt0119229,tt0096463",4
nm0000351,Donna D'Errico,1968,\N,"actress,director,producer","tt12861508,tt7235466,tt4270458,tt4459134",4
nm0000354,Matt Damon,1970,\N,"producer,actor,soundtrack","tt0134119,tt0119217,tt3659388,tt0407887",4
nm0000357,Lolita Davidovich,1961,\N,actress,"tt0096943,tt0092513,tt0102138,tt0329717",4
nm0000363,Loren Dean,1969,\N,"actor,soundtrack","tt0098258,tt0120660,tt0112384,tt0186566",4
nm0000365,Julie Delpy,1969,\N,"actress,writer,director","tt0112471,tt0381681,tt0111507,tt0841044",4
nm0000368,Laura Dern,1967,\N,"actress,producer,writer","tt0107290,tt0090756,tt7653254,tt2305051",4
nm0000369,Matt Dillon,1964,\N,"actor,art_department,director","tt0375679,tt4003440,tt0129387,tt0097240",4
nm0000371,Ami Dolenz,1969,\N,"actress,producer,miscellaneous","tt0056758,tt0110913,tt0092718,tt0108577",4
nm0000372,Amanda Donohoe,1962,\N,"actress,producer","tt0095488,tt0119528,tt0090466,tt0110428",4
nm0000375,Robert Downey Jr.,1965,\N,"actor,producer,soundtrack","tt4154796,tt1300854,tt0371746,tt0988045",4
nm0000378,Minnie Driver,1970,\N,"actress,soundtrack,producer","tt0112679,tt0119217,tt0496343,tt5592146",4
nm0000379,Kirsten Dunst,1982,\N,"actress,producer,soundtrack","tt0110148,tt0110367,tt0145487,tt1527186",4
nm0000381,Anthony Edwards,1962,\N,"actor,producer,director","tt0088000,tt0108757,tt0443706,tt0092099",4
nm0000383,Jennifer Ehle,1969,\N,actress,"tt0112130,tt2392830,tt4919484,tt1790885",4
nm0000389,Emilio Estevez,1962,\N,"actor,director,producer","tt0308055,tt3294746,tt0100994,tt1441912",4
nm0000394,Chris Farley,1964,1997,"actor,soundtrack,stunts","tt0114694,tt0115697,tt0118708,tt0106598",4
nm0000395,Terry Farrell,1963,\N,actress,"tt0090685,tt0106145,tt0104409,tt0174378",4
nm0000397,Corey Feldman,1971,\N,"actor,producer,soundtrack","tt0087298,tt0093437,tt0092005,tt0089218",4
nm0000399,David Fincher,1962,\N,"producer,director,actor","tt0114369,tt2267998,tt1285016,tt0443706",4
nm0000401,Laurence Fishburne,1961,\N,"actor,producer,writer","tt1598778,tt0133093,tt0327056,tt0234215",4
nm0000403,Bridget Fonda,1964,\N,"actress,soundtrack","tt0120324,tt0139414,tt0105414,tt0107843",4
nm0000405,Michelle Forbes,1965,\N,actress,"tt0107302,tt0844441,tt1951266,tt0116225",4
nm0000407,Vivica A. Fox,1964,\N,"actress,producer,soundtrack","tt0118688,tt0373474,tt0266697,tt0116629",4
nm0000409,Brendan Fraser,1968,\N,"actor,producer,soundtrack","tt0119190,tt0375679,tt0209163,tt0120616",4
nm0000411,Edward Furlong,1977,\N,"actor,producer,soundtrack","tt0120586,tt0165710,tt0103064,tt0990407",4
nm0000413,Janeane Garofalo,1964,\N,"actress,writer,producer","tt0382932,tt0117979,tt0132347,tt0243655",4
nm0000415,Jami Gertz,1965,\N,"actress,producer,executive","tt0093437,tt0320970,tt0088128,tt0117998",4
nm0000417,Crispin Glover,1964,\N,"actor,soundtrack,producer","tt0088763,tt0310357,tt1729632,tt0091860",4
nm0000420,Valeria Golino,1965,\N,"actress,producer,soundtrack","tt0095953,tt0102059,tt8613070,tt0107144",4
nm0000421,Cuba Gooding Jr.,1968,\N,"actor,soundtrack,producer","tt0203019,tt0116695,tt0316465,tt0119822",4
nm0000433,Corey Haim,1971,2010,"actor,producer,soundtrack","tt0095519,tt0090021,tt0093437,tt0091445",4
nm0000437,Woody Harrelson,1961,\N,"actor,producer,soundtrack","tt5027774,tt2356777,tt0110632,tt0117318",4
nm0000439,Neil Patrick Harris,1973,\N,"actor,soundtrack,producer","tt0460649,tt2267998,tt4834206,tt0120201",4
nm0000441,Noah Hathaway,1971,\N,"actor,miscellaneous","tt0076984,tt0092115,tt0088323,tt0077215",4
nm0000446,Mariel Hemingway,1961,\N,"actress,producer,soundtrack","tt0159730,tt0094074,tt0208874,tt0079522",4
nm0000449,Natasha Henstridge,1974,\N,"actress,producer,soundtrack","tt0114508,tt0120841,tt0190138,tt0228333",4
nm0000450,Philip Seymour Hoffman,1967,2014,"actor,producer,soundtrack","tt0472062,tt0379725,tt0292963,tt1560747",4
nm0000451,Gaby Hoffmann,1982,\N,"actress,soundtrack,director","tt0098554,tt0097351,tt0114011,tt0116242",4
nm0000452,Lauren Holly,1963,\N,"actress,producer","tt0106770,tt0109686,tt0103512,tt0207201",4
nm0000463,Famke Janssen,1964,\N,"actress,writer,director","tt0185371,tt0120903,tt0113189,tt0376994",4
nm0000475,Patsy Kensit,1968,\N,"actress,soundtrack","tt0097733,tt0068069,tt0079268,tt0090585",4
nm0000478,Tawny Kitaen,1961,2021,"actress,producer","tt2797190,tt0087903,tt0111999,tt0086927",4
nm0000480,Elias Koteas,1961,\N,"actor,producer","tt0120863,tt0114194,tt0822854,tt0100758",4
nm0000486,Heather Langenkamp,1964,\N,"actress,special_effects,make_up_department","tt0111686,tt0087800,tt13444912,tt0094490",4
nm0000488,Brandon Lee,1965,1993,"actor,miscellaneous","tt0105219,tt0102915,tt0109506,tt0099978",4
nm0000491,John Leguizamo,1964,\N,"actor,writer,producer","tt0117509,tt0119887,tt0203009,tt0120177",4
nm0000492,Jennifer Jason Leigh,1962,\N,"actress,producer,soundtrack","tt0108122,tt0105414,tt3460252,tt0109642",4
nm0000494,Robert Sean Leonard,1969,\N,"actor,soundtrack","tt0108265,tt0412142,tt0106226,tt0097165",4
nm0000495,Téa Leoni,1966,\N,"actress,producer","tt0120647,tt0218967,tt0371246,tt0163025",4
nm0000496,Juliette Lewis,1973,\N,"actress,soundtrack,director","tt1322269,tt0101540,tt0110632,tt0116367",4
nm0000497,Jennifer Lien,1974,\N,"actress,producer,miscellaneous","tt0120586,tt0112178,tt0106100,tt0133189",4
nm0000498,Matthew Lillard,1970,\N,"actor,producer,soundtrack","tt1033575,tt0133189,tt0267913,tt0117571",4
nm0000499,Bai Ling,1966,\N,"actress,producer,writer","tt0405336,tt0109506,tt1121931,tt0119994",4
nm0000503,Emily Lloyd,1970,\N,actress,"tt0105265,tt0094331,tt0097109,tt0310952",4
nm0000504,Amy Locane,1971,\N,"actress,soundtrack","tt0103491,tt0099329,tt0105327,tt0274812",4
nm0000505,Nia Long,1970,\N,"actress,soundtrack,director","tt0197182,tt2083355,tt0168501,tt0208003",4
nm0000506,Julia Louis-Dreyfus,1961,\N,"actress,producer,soundtrack","tt0098904,tt0462128,tt1759761,tt2390361",4
nm0000507,Rob Lowe,1964,\N,"actor,producer,soundtrack","tt0105793,tt0086066,tt0090060,tt0145660",4
nm0000508,Carey Lowell,1961,\N,actress,"tt0097742,tt0098844,tt0113627,tt0108160",4
nm0000512,Elle Macpherson,1964,\N,"producer,actress","tt0111201,tt0119051,tt0117057,tt0118688",4
nm0000515,Virginia Madsen,1961,\N,"actress,producer,soundtrack","tt0114194,tt0087182,tt0103919,tt0375063",4
nm0000521,Sophie Marceau,1966,\N,"actress,director,writer","tt0143145,tt0082100,tt1194616,tt0112573",4
nm0000522,Vanessa Marcil,1968,\N,actress,"tt0056758,tt0098749,tt0364828,tt0117500",4
nm0000523,Julianna Margulies,1966,\N,"actress,producer,soundtrack","tt0288477,tt1174730,tt0417148,tt0108757",4
nm0000524,Mary Stuart Masterson,1966,\N,"actress,producer,director","tt0106387,tt0073747,tt0094006,tt0101921",4
nm0000525,Heather Matarazzo,1982,\N,"actress,director,producer","tt0114906,tt0332375,tt0120577,tt0498353",4
nm0000526,Samantha Mathis,1970,\N,"actress,executive,soundtrack","tt0100436,tt0108255,tt0144084,tt0115759",4
nm0000528,Mathilda May,1965,\N,"actress,miscellaneous,soundtrack","tt0092797,tt0089489,tt0119395,tt0102130",4
nm0000529,Debi Mazar,1964,\N,"actress,make_up_department,producer","tt0387199,tt0106375,tt1674771,tt0112950",4
nm0000530,Andrew McCarthy,1962,\N,"actor,director,producer","tt2372162,tt2741602,tt0091790,tt0098627",4
nm0000535,Rose McGowan,1973,\N,"actress,soundtrack,producer","tt0158552,tt1077258,tt0462322,tt0155776",4
nm0000536,Robert Duncan McNeill,1964,\N,"actor,producer,director","tt0387054,tt0934814,tt0112178,tt0093507",4
nm0000539,Dina Meyer,1968,\N,"actress,producer","tt0387564,tt0253754,tt0113481,tt0120201",4
nm0000542,Penelope Ann Miller,1964,\N,"actress,soundtrack","tt1655442,tt0120004,tt0106519,tt0099615",4
nm0000551,Dermot Mulroney,1963,\N,"actor,soundtrack,music_department","tt0096487,tt0119738,tt1322269,tt0372532",4
nm0000552,Eddie Murphy,1961,\N,"actor,writer,producer","tt0094898,tt0126029,tt0117218,tt0443489",4
nm0000562,Jeremy Northam,1961,\N,"actor,soundtrack","tt0116191,tt0280707,tt0155388,tt0284978",4
nm0000563,Chris O'Donnell,1970,\N,"actor,producer,director","tt0190865,tt0108333,tt0105323,tt0118688",4
nm0000566,Julia Ormond,1965,\N,"actress,producer","tt0110322,tt0114319,tt1655420,tt0421715",4
nm0000569,Gwyneth Paltrow,1972,\N,"actress,soundtrack,producer","tt0116191,tt1300854,tt0120148,tt0138097",4
nm0000571,Mary-Louise Parker,1964,\N,"actress,soundtrack,miscellaneous","tt1245526,tt0439100,tt1821694,tt0790736",4
nm0000572,Sarah Jessica Parker,1965,\N,"actress,producer,miscellaneous","tt0159206,tt0356680,tt1261945,tt1000774",4
nm0000574,Jason Patric,1966,\N,"actor,producer","tt0120179,tt0480255,tt0117665,tt0093437",4
nm0000575,Alexandra Paul,1963,\N,"actress,producer,writer","tt0096542,tt0106689,tt0085333,tt0092925",4
nm0000580,Luke Perry,1966,2019,"actor,producer,soundtrack","tt0119116,tt0098749,tt7131622,tt0103893",4
nm0000584,Amanda Peterson,1971,2015,actress,"tt0089114,tt0083564,tt0092718,tt0092488",4
nm0000586,Jada Pinkett Smith,1971,\N,"producer,actress,writer","tt0234215,tt0120082,tt0369339,tt0242653",4
nm0000588,Martha Plimpton,1970,\N,"actress,soundtrack,writer","tt0098067,tt0091557,tt0089218,tt0115639",4
nm0000593,Kelly Preston,1962,2020,"actress,soundtrack","tt0126916,tt0185183,tt0116695,tt0286788",4
nm0000594,Jason Priestley,1969,\N,"actor,producer,director","tt2334593,tt1558182,tt0098749,tt5722298",4
nm0000604,John C. Reilly,1965,\N,"actor,writer,producer","tt0299658,tt3385524,tt2015381,tt0841046",4
nm0000605,Brad Renfro,1982,2008,"actor,soundtrack,writer","tt0109446,tt0118636,tt0117665,tt0112757",4
nm0000610,Giovanni Ribisi,1974,\N,"actor,producer,cinematographer","tt0346156,tt0499549,tt0181984,tt0377062",4
nm0000611,Ariana Richards,1979,\N,actress,"tt0107290,tt0100814,tt0259685,tt0119567",4
nm0000612,Denise Richards,1971,\N,"actress,producer,soundtrack","tt0120201,tt0120890,tt0143145,tt0314331",4
nm0000613,Joely Richardson,1965,\N,"actress,producer,soundtrack","tt1932718,tt0361217,tt0119081,tt0187393",4
nm0000619,Tim Roth,1961,\N,"actor,producer,soundtrack","tt3460252,tt0110912,tt0114287,tt0133152",4
nm0000624,Laura San Giacomo,1962,\N,actress,"tt0098724,tt0100405,tt0102744,tt0118364",4
nm0000625,Fred Savage,1976,\N,"actor,director,producer","tt0093779,tt0094582,tt0090768,tt0295178",4
nm0000628,Johnathon Schaech,1969,\N,"actor,writer,producer","tt4532368,tt0926129,tt0117887,tt2249007",4
nm0000629,Claudia Schiffer,1970,\N,"actress,producer","tt0196229,tt0110989,tt0314331,tt2802144",4
nm0000630,Liev Schreiber,1967,\N,"actor,producer,miscellaneous","tt1895587,tt0458525,tt0404030,tt0368008",4
nm0000637,Tupac Shakur,1971,1996,"soundtrack,actor,composer","tt0104573,tt0118900,tt0107840,tt0109035",4
nm0000639,Ally Sheedy,1962,\N,"actress,producer,soundtrack","tt0086567,tt0139362,tt0088847,tt0091949",4
nm0000644,Helen Slater,1963,\N,"actress,soundtrack,writer","tt0101587,tt0091877,tt0093936,tt0088206",4
nm0000645,Anna Nicole Smith,1967,2007,"miscellaneous,actress,producer","tt0110074,tt0377471,tt0110622,tt0758754",4
nm0000647,Alan Smithee,\N,\N,"director,actor,writer","tt0086491,tt0118577,tt2076794,tt0116514",4
nm0000648,Wesley Snipes,1962,\N,"actor,producer,soundtrack","tt0106697,tt0102526,tt0105812,tt0120611",4
nm0000650,Talisa Soto,1967,\N,actress,"tt0113855,tt0117723,tt0119707,tt0097742",4
nm0000655,Eric Stoltz,1961,\N,"actor,producer,director","tt0094006,tt0089560,tt0289879,tt0110912",4
nm0000660,Tami Stronach,1972,\N,actress,"tt12623434,tt6557704,tt0088323,tt3222644",4
nm0000662,Kiefer Sutherland,1966,\N,"actor,producer,miscellaneous","tt0285331,tt0183649,tt0790686,tt1527186",4
nm0000663,Dominique Swain,1980,\N,"actress,producer,soundtrack","tt0426883,tt0203975,tt0119094,tt0119558",4
nm0000667,David Thewlis,1963,\N,"actor,writer,soundtrack","tt1201607,tt0107653,tt0466909,tt0451279",4
nm0000670,Lea Thompson,1961,\N,"actress,producer,director","tt0088763,tt0096874,tt0094006,tt0091225",4
nm0000673,Marisa Tomei,1964,\N,"actress,producer","tt0207201,tt1125849,tt0247425,tt0104952",4
nm0000674,Tamlyn Tomita,1966,\N,actress,"tt0091326,tt0319262,tt0406759,tt0411951",4
nm0000675,Jeanne Tripplehorn,1963,\N,"actress,soundtrack","tt0106918,tt0103772,tt0114898,tt0120148",4
nm0000676,Chris Tucker,1971,\N,"actor,soundtrack,writer","tt0119695,tt0266915,tt0120812,tt1045658",4
nm0000677,Robin Tunney,1972,\N,"actress,soundtrack","tt0190865,tt0112950,tt0115963,tt0146675",4
nm0000679,Deborah Kara Unger,1966,\N,"actress,producer,miscellaneous","tt0328538,tt0317042,tt0119174,tt1441912",4
nm0000680,Casper Van Dien,1968,\N,"actor,producer,director","tt0437086,tt0120856,tt0120201,tt0162661",4
nm0000681,Vince Vaughn,1970,\N,"producer,actor,writer","tt5657856,tt0452594,tt0396269,tt1078940",4
nm0000689,Julie Warner,1965,\N,"actress,director,producer","tt0101745,tt0099582,tt0430634,tt0114694",4
nm0000692,Teri Weigel,1962,\N,actress,"tt0100403,tt0100114,tt0096889,tt0098257",4
nm0000695,Joanne Whalley,1961,\N,actress,"tt0120483,tt0100232,tt0090424,tt0096446",4
nm0000696,Wil Wheaton,1972,\N,"actor,writer,producer","tt0084649,tt0103112,tt0092005,tt0092455",4
nm0000701,Kate Winslet,1975,\N,"actress,soundtrack","tt0120338,tt0338013,tt0114388,tt0959337",4
nm0000702,Reese Witherspoon,1976,\N,"actress,producer,soundtrack","tt0250494,tt0126886,tt2305051,tt0358273",4
nm0000704,Elijah Wood,1981,\N,"actor,producer,soundtrack","tt0338013,tt0167261,tt0120737,tt0167260",4
nm0000705,Robin Wright,1966,\N,"actress,producer,director","tt0442933,tt0109830,tt0217869,tt0093779",4
nm0000706,Michelle Yeoh,1962,\N,"actress,producer,writer","tt0190332,tt0120347,tt1302011,tt3104988",4
nm0000708,Billy Zane,1966,\N,"actor,producer,soundtrack","tt0096874,tt0097162,tt0117331,tt0120338",4
nm0000716,Paula Abdul,1962,\N,"soundtrack,actress,miscellaneous","tt0092718,tt0094898,tt0093894,tt0358082",4
nm0000725,Joey Lauren Adams,1968,\N,"actress,soundtrack,director","tt0142342,tt0118842,tt0106677,tt2996684",4
nm0000729,Casey Affleck,1975,\N,"actor,producer,writer","tt0452623,tt4034228,tt0443680,tt0240772",4
nm0000746,Trini Alvarado,1967,\N,"actress,soundtrack","tt0125454,tt0110367,tt0116365,tt0081635",4
nm0000749,Mädchen Amick,1970,\N,"actress,director,producer","tt0098936,tt0105665,tt5420376,tt0109665",4
