nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,titleCount
nm0005168,Jamie Luner,1971,\N,"actress,soundtrack","tt0103491,tt0065272,tt2402061,tt0115346",4
nm0005169,Natasha Lyonne,1979,\N,"actress,writer,producer","tt0163651,tt0120831,tt2372162,tt0179116",4
nm0005171,Angus Macfadyen,1963,\N,"actor,writer,director","tt1389137,tt0112573,tt0489270,tt0238380",4
nm0005179,Camryn Manheim,1961,\N,"actress,producer,soundtrack","tt0118437,tt0147612,tt0306047,tt0350261",4
nm0005182,Leslie Mann,1972,\N,actress,"tt2203939,tt0119190,tt0478311,tt1758830",4
nm0005183,Pamela Mann,\N,\N,actress,"tt0127863,tt0153962,tt0129502,tt0196522",4
nm0005184,Patricia Manterola,1972,\N,"actress,soundtrack,music_department","tt0473102,tt0811069,tt1667724,tt1730842",4
nm0005185,Marla Maples,1963,\N,"actress,producer","tt0323120,tt0147612,tt0116253,tt0091499",4
nm0005186,Constance Marie,1965,\N,"actress,soundtrack","tt0120094,tt1758772,tt0310460,tt0303635",4
nm0005187,Ziggy Marley,1968,\N,"soundtrack,music_department,actor","tt0095593,tt0343660,tt0378109,tt0307453",4
nm0005188,James Marsden,1973,\N,"actor,soundtrack","tt0120903,tt0461770,tt0427327,tt0988595",4
nm0005189,Jason Marsden,1975,\N,"actor,producer,director","tt0113198,tt0120855,tt0245429,tt0107120",4
nm0005191,Paula Marshall,1964,\N,"actress,camera_department,producer","tt0320030,tt0168326,tt0904208,tt1229401",4
nm0005192,Kellie Martin,1975,\N,"actress,producer,director","tt0096635,tt0113008,tt0108757,tt0113198",4
nm0005193,Ricky Martin,1971,\N,"actor,music_department,soundtrack","tt2788432,tt6695924,tt3469046,tt1322269",4
nm0005194,Danny Masterson,1976,\N,"actor,producer,soundtrack","tt0106375,tt0165598,tt0119094,tt0219653",4
nm0005195,Monet Mazur,1976,\N,"actress,producer","tt5992164,tt7414406,tt0426627,tt0369735",4
nm0005198,Martina McBride,1966,\N,"soundtrack,actress,director","tt0104940,tt0163187,tt0198021,tt0369436",4
nm0005199,Shalane McCall,1972,\N,actress,"tt0238420,tt0090452,tt0088616,tt0077000",4
nm0005201,Catherine McCord,1974,\N,actress,"tt0350028,tt0398017,tt0421206,tt0873886",4
nm0005202,Eric McCormack,1963,\N,"actor,producer,soundtrack","tt0348913,tt0157246,tt5651844,tt1714204",4
nm0005203,Mary McCormack,1969,\N,"actress,producer,writer","tt0935095,tt0272152,tt0450385,tt0120647",4
nm0005204,Paul McCrane,1961,\N,"actor,director,soundtrack","tt0108909,tt0355853,tt0108757,tt10329042",4
nm0005205,Kimberly McCullough,1978,\N,"actress,director,producer","tt8595140,tt8510382,tt0472954,tt6116060",4
nm0005208,Trina McGee,1969,\N,"actress,writer,producer","tt0115685,tt0105958,tt0116040,tt0293815",4
nm0005209,Mark McGrath,1968,\N,"actor,soundtrack,composer","tt0267913,tt0120890,tt0253867,tt0350028",4
nm0005210,Tim McGraw,1967,\N,"soundtrack,actor,music_department","tt1964418,tt0878804,tt0434215,tt0390022",4
nm0005211,Danica McKellar,1975,\N,"actress,writer,producer","tt1641384,tt0292249,tt0094582,tt3391988",4
nm0005213,Brian McKnight,1969,\N,"soundtrack,actor,composer","tt0800039,tt0144528,tt0203019,tt6048930",4
nm0005214,Sarah McLachlan,1968,\N,"soundtrack,actress,composer","tt0413895,tt0120632,tt0476964,tt0120363",4
nm0005215,Jenny McShane,1965,\N,"actress,visual_effects","tt0161970,tt0313597,tt0204626,tt1830617",4
nm0005216,Janet McTeer,1961,\N,"actress,writer,producer","tt1602098,tt3410834,tt0161023,tt2674426",4
nm0005218,Tim Meadows,1961,\N,"actor,writer,soundtrack","tt0841046,tt0377092,tt0213790,tt3960412",4
